time_0,beta
0,0.1060372586
1,0.10884624897666666
2,0.10397217562333333
3,0.11187052005
4,0.11201517353666667
5,0.11171487868666667
6,0.11635548826666667
7,0.11838074682000001
8,0.11668629826
9,0.12056520073666666
10,0.11786696426000001
11,0.12275786385000001
12,0.12883591516333334
13,0.12863547800666666
14,0.12234883323000001
15,0.12927468194
16,0.12936163796333333
17,0.13411189890333333
18,0.13910109614
19,0.13674146722333333
20,0.13942600877999997
21,0.13550651194666666
22,0.12990500276666667
23,0.12499858905333333
24,0.13681705764666668
25,0.14413722870333334
26,0.14870689530666667
27,0.1527195388
28,0.14961815992
29,0.14923332239666667
30,0.1529805874
31,0.14910390679333332
32,0.14908018545666665
33,0.14256278268333333
34,0.14467826966333333
35,0.15697661206666666
36,0.16121591334666666
37,0.16225940928
38,0.16975012203333334
39,0.17406343573333335
40,0.17690233593333335
41,0.1787457224
42,0.17717695936666666
43,0.17719247603333335
44,0.1755187349
45,0.18014777636666668
46,0.18131598456666667
47,0.17863557923333334
48,0.17909104716666666
49,0.1765302003
