time_0,beta
0,0.08689918058000001
1,0.08613215765
2,0.08579040583000003
3,0.08332820164000002
4,0.08234303277
5,0.08453781283
6,0.08366980354
7,0.08303937993
8,0.08639760835999998
9,0.08206077428
10,0.07861205323
11,0.08088414629000001
12,0.08611410332
13,0.08845735836999999
14,0.08436864766999999
15,0.07909157402000001
16,0.08242364768
17,0.07886564264000001
18,0.08415699416999999
19,0.08361546515000001
20,0.08281069354999998
21,0.08607317356000001
22,0.08523883449000003
23,0.09893316280999999
24,0.09534081873000004
25,0.11615964629999997
26,0.11654173485
27,0.12622252699000003
28,0.12451706645000002
29,0.12707380683
30,0.12246876922999998
31,0.11325297121000003
32,0.11572425470999999
33,0.11638062558
34,0.11750536186999999
35,0.11257767743000001
36,0.10992238238999999
37,0.10716087446
38,0.10435933630000001
39,0.10006573602000002
40,0.10402730185999999
41,0.10267667325
42,0.12630555988999997
43,0.14262618517999998
44,0.15335205709
45,0.15546187213999998
46,0.15448506957
47,0.15566851065
48,0.15516698904
49,0.1562989933
