"Day","Mean","Lower","Upper"
51,0.0924445430717961,0.0813689216941707,0.0996673868980243
52,0.0917122715431147,0.0809706938491961,0.0984840778451346
53,0.0909907330593682,0.0806108546091907,0.0974628843204031
54,0.0902803305580079,0.0798325038052148,0.0972717897315812
55,0.0894463652214676,0.0784502294803175,0.0983028098084176
56,0.0890828979971047,0.0787462944732583,0.0964290088020484
57,0.0885986126645247,0.0782774778840102,0.096228781307304
58,0.0882105003496028,0.078081217055895,0.0953873265231046
59,0.0878623280848683,0.0778269665365221,0.0950757616582331
60,0.0875486244151149,0.0775118422154043,0.0948834369323199
61,0.0872543489496312,0.0771233735343778,0.0949992123728377
62,0.0869248353137475,0.0767898269490128,0.0948201147349825
63,0.086627090113343,0.076659530459854,0.0946852956779419
64,0.086334322706694,0.0762533468594145,0.0945397974214516
65,0.0861212122303018,0.0763853289020162,0.0943275782640008
66,0.0858565327278858,0.0759519859655735,0.0944471721173383
67,0.0856263272662914,0.0754613761448028,0.094260862528426
68,0.0853501471686862,0.0757538421313583,0.0941415246977527
69,0.0851539722321754,0.0754536170333848,0.0938056976173863
70,0.0849380318990026,0.0748781888255454,0.0937211797630032
71,0.0847968305968555,0.0751929254007203,0.093582546996883
72,0.084642248494456,0.0754742240267436,0.0934445036696691
73,0.084462924574521,0.075273965575852,0.0930110853596995
74,0.0842991709399668,0.0751925522074054,0.0928665576402699
75,0.0841500322635949,0.0748834741717176,0.093326946863233
76,0.0839694701549716,0.0748765005228804,0.0932538214301896
77,0.0837805744139895,0.0745961488521514,0.0930732603263572
78,0.0835948351482338,0.0747560414868932,0.0929437475388799
