time_0,beta
0,0.06151756053333334
1,0.05892143954333333
2,0.05921185326666666
3,0.0551774706
4,0.06100363561666667
5,0.061819345753333345
6,0.06365806487666667
7,0.06261773014000001
8,0.057724520483333326
9,0.052825105941666665
10,0.052336550106666664
11,0.049357988675000006
12,0.05465427203666667
13,0.05295275714
14,0.05083152453333333
15,0.04949473394633333
16,0.04501578522666667
17,0.04525723505833333
18,0.04652674623800001
19,0.047173586665666664
20,0.047559474195
21,0.049184389771
22,0.04945946658666667
23,0.05210187781733334
24,0.05188245586066667
25,0.059693505429
26,0.06225045813666666
27,0.059171090838099995
28,0.058030835473333334
29,0.05739656554
30,0.05959809201
31,0.06206705523
32,0.06102389657500001
33,0.06430491424833333
34,0.06677202617333333
35,0.06618766397666667
36,0.06312629854666668
37,0.06730839861
38,0.07136020528666666
39,0.07222539189666667
40,0.07817843116666666
41,0.08087954455666667
42,0.07948306047666667
43,0.08520024523666667
44,0.08056495564666667
45,0.07919038757
46,0.08030668034999999
47,0.07916246036666667
48,0.08176585867666666
49,0.08082470842666666
