time_0,beta
0,0.08892796575666667
1,0.08721904549666668
2,0.08844416887666666
3,0.09297040214333334
4,0.09841208169666665
5,0.10672840595666667
6,0.11263288529
7,0.11295312228333332
8,0.11153187682
9,0.10915885033666668
10,0.11656734676999998
11,0.11242639639666666
12,0.10744546746000003
13,0.10549462723666667
14,0.10188382939333335
15,0.09576102499000001
16,0.09634269770666666
17,0.10272055395
18,0.09576336169666667
19,0.10030757499666666
20,0.0988852206
21,0.08588954081
22,0.07733923172666667
23,0.07233643756
24,0.07590279385
25,0.07256310272333334
26,0.06832282057333333
27,0.06688763209333333
28,0.06195739482999999
29,0.057844889010000004
30,0.05460513487999999
31,0.055340545871666674
32,0.05351426385666667
33,0.050832418501666664
34,0.04925807944466667
35,0.05250788473833333
36,0.050484079854333334
37,0.050912659070000005
38,0.05797015748666667
39,0.06426309833666667
40,0.06335958322333335
41,0.06845492515666665
42,0.06548579164333333
43,0.06396218176666667
44,0.06979245757333333
45,0.07889794622333333
46,0.08422053428
47,0.08874871744333333
48,0.09271710777666667
49,0.09734164196999999
