time_0,mean_temp,max_rel_humidity,sun_duration,wind_speed,swave_radiation,google_search
0,0.4,81,30916.46,15.8,8.94,27
1,4.2,94,18403.9,34.3,5.92,26
2,7.4,96,23860.98,37.6,7.88,31
3,0.8,55,30690.64,28.9,9.44,31
4,-1.3,69,27621.35,21.0,9.37,36
5,2.9,67,30503.99,17.6,9.54,31
6,4.9,95,8903.67,14.3,3.54,34
7,8.7,100,27290.56,16.3,7.25,40
8,8.5,100,0.0,19.1,1.27,40
9,7.2,100,24498.58,21.0,7.05,34
10,3.8,84,16953.58,14.7,6.4,29
11,1.4,91,22024.93,22.3,6.09,27
12,0.1,90,10800.0,17.5,4.04,46
13,2.9,100,28329.88,11.0,8.41,31
14,6.6,100,29249.18,12.0,8.32,41
15,11.7,97,7200.0,29.2,3.27,56
16,5.8,98,22486.11,35.1,6.99,35
17,2.1,81,29686.15,18.1,9.01,34
18,2.9,78,29485.61,18.2,8.83,53
19,0.4,81,29300.17,13.1,8.48,55
20,4.4,72,29295.82,16.6,8.66,66
21,6.0,91,29053.74,12.6,8.41,68
22,9.4,98,0.0,23.0,2.26,54
23,11.5,98,5624.41,53.5,2.25,67
24,2.8,70,28757.67,24.0,8.35,58
25,1.2,74,29240.5,16.4,8.65,48
26,0.8,85,29178.11,20.9,8.77,69
27,-2.2,78,28800.0,13.1,8.15,67
28,0.6,96,4535.65,9.7,3.49,69
29,4.2,99,9729.35,7.6,3.67,64
30,5.8,100,27799.55,8.6,6.09,70
31,4.7,100,0.0,7.3,3.07,56
32,6.8,100,0.0,16.1,1.8,63
33,9.8,98,0.0,23.8,1.93,55
34,9.4,99,27461.2,18.1,7.12,88
35,5.3,83,14887.14,26.6,5.23,97
36,2.7,89,14168.16,15.9,5.03,85
37,3.4,91,8808.19,14.3,4.77,100
38,-0.1,89,29200.07,13.7,9.0,81
39,1.3,89,28904.64,14.4,8.36,55
40,1.9,87,21209.71,26.9,6.45,45
41,-1.9,78,29371.21,20.5,9.23,70
42,-1.2,100,0.0,29.1,2.84,74
43,1.4,100,558.07,27.0,2.78,80
44,1.4,92,29383.61,20.1,9.35,59
45,3.1,98,0.0,57.3,1.63,55
46,9.1,93,19014.74,48.6,6.41,54
47,4.4,80,29749.65,22.9,8.88,58
48,3.9,90,28962.48,22.1,8.74,54
49,9.0,97,21723.59,34.2,5.74,57
