time_0,mean_temp,max_rel_humidity,sun_duration,wind_speed,swave_radiation
0,32.3,22,38435.02,27.2,18.8
1,30.5,35,36757.03,16.7,18.77
2,30.0,43,38276.86,19.4,17.77
3,28.7,38,38197.95,20.6,18.66
4,27.6,56,38119.3,25.8,18.6
5,24.8,46,38040.98,18.7,18.89
6,24.4,26,37963.1,11.2,18.6
7,25.8,39,37885.76,9.5,18.31
8,28.2,47,37809.05,10.9,18.27
9,30.3,30,37596.92,16.0,17.78
10,29.6,37,37571.95,11.4,17.8
11,28.7,36,37322.28,13.4,17.8
12,29.7,38,37163.19,11.5,17.76
13,29.4,31,36985.8,14.8,17.64
14,28.9,36,36812.69,15.7,17.4
15,27.4,30,36545.77,10.5,16.95
16,25.7,45,36195.48,14.1,16.74
17,23.3,54,35955.5,16.5,14.16
18,22.7,60,34654.48,15.9,15.11
19,23.4,72,34911.23,11.6,14.95
20,23.2,69,35713.81,13.1,15.87
21,23.1,52,35660.19,19.7,15.87
22,19.5,31,35677.57,13.4,16.72
23,18.9,27,35479.04,26.6,16.24
24,19.6,22,35424.36,25.7,16.22
25,20.8,28,35307.86,22.4,16.01
26,20.1,52,35254.42,9.8,15.76
27,20.7,52,35162.26,10.2,15.68
28,21.8,44,35104.77,11.4,15.5
29,22.9,37,35047.02,13.2,15.07
30,23.5,41,34989.09,10.8,14.9
31,22.2,45,34931.0,15.7,14.81
32,19.9,52,34872.83,17.4,14.94
33,17.8,45,34814.61,15.8,14.79
34,17.0,29,34756.4,12.0,14.71
35,18.9,60,34698.25,15.8,14.11
36,20.4,45,34640.23,20.9,14.23
37,22.9,44,34582.38,21.4,13.8
38,24.0,49,31262.83,19.2,13.18
39,23.6,46,26147.11,15.8,10.99
40,20.8,86,12134.59,18.4,7.51
41,20.4,100,32299.67,11.2,11.82
42,19.4,95,28666.09,15.0,10.27
43,16.6,100,29758.56,26.0,11.85
44,15.1,68,33907.75,14.8,13.09
45,17.7,52,33857.2,18.9,13.13
46,16.2,62,33688.46,14.3,13.08
47,15.0,62,27835.25,13.9,10.8
48,15.2,69,33254.11,23.5,11.44
49,14.6,92,32773.99,10.9,12.9
