time_0,mean_temp,max_rel_humidity,sun_duration,wind_speed,swave_radiation,google_search
0,17.2,41,32081.88,24.5,10.99,84
1,15.9,49,32105.0,11.7,11.81,60
2,16.5,41,18627.93,14.7,7.71,78
3,16.8,42,17751.46,12.8,6.54,0
4,15.8,86,24942.78,21.9,8.74,73
5,15.6,85,32205.17,11.7,11.18,100
6,13.4,92,0.0,23.8,2.85,85
7,12.1,97,32264.13,16.4,8.75,75
8,10.3,100,32295.99,8.4,9.78,91
9,10.3,100,32330.1,9.8,11.14,86
10,9.2,97,32366.34,9.3,11.55,69
11,9.4,87,32400.0,9.3,11.57,90
12,10.1,89,32400.0,9.5,11.49,70
13,11.6,87,32400.0,20.0,11.53,74
14,12.8,74,32400.0,17.5,11.45,77
15,10.5,92,25200.0,10.0,10.12,82
16,10.7,90,4893.26,12.6,6.63,67
17,10.4,92,32400.0,10.5,11.63,71
18,10.0,91,22172.05,30.6,9.34,97
19,9.1,96,32400.0,13.6,10.94,45
20,7.9,98,28800.0,10.1,10.25,82
21,8.1,96,32397.65,9.7,12.07,93
22,7.1,74,10800.0,29.4,5.23,72
23,4.9,72,32397.5,15.1,12.46,51
24,5.4,84,32438.43,10.2,12.32,0
25,6.4,90,32435.59,8.8,12.43,81
26,6.9,81,28120.26,39.3,10.63,0
27,5.6,74,32498.61,12.3,12.57,56
28,7.5,85,32497.16,8.4,12.58,44
29,9.8,76,32573.25,9.8,12.49,78
30,10.5,86,32491.58,10.4,12.56,50
31,11.2,88,32744.4,10.2,12.84,46
32,11.8,88,32400.0,10.3,10.87,62
33,13.9,75,32846.83,9.1,12.85,44
34,15.2,80,31339.35,11.9,10.17,49
35,14.0,74,11815.21,11.3,7.96,42
36,12.3,95,0.0,12.4,2.1,62
37,11.5,100,16018.94,16.9,7.88,43
38,12.1,98,7830.8,28.4,5.4,88
39,11.8,100,23299.89,8.9,9.15,61
40,11.7,99,22435.68,14.0,9.98,41
41,11.6,100,33569.34,13.7,13.64,43
42,12.6,91,33941.8,16.6,13.92,0
43,14.6,65,32983.79,25.6,13.47,46
44,15.0,76,34103.8,12.6,13.68,44
45,15.2,82,34288.79,11.2,14.08,0
46,16.2,89,32400.0,13.2,13.9,43
47,16.7,86,31979.54,30.0,13.5,0
48,12.1,93,33379.54,25.7,12.29,0
49,10.6,94,34450.91,15.2,14.63,0
