time_0,mean_temp,max_rel_humidity,sun_duration,wind_speed,swave_radiation
0,28.9,43,39145.46,34.2,20.76
1,24.9,46,37488.36,19.4,18.94
2,23.9,53,38830.73,14.4,18.44
3,24.3,57,38772.01,11.7,20.09
4,25.9,46,38696.94,9.8,20.19
5,28.1,34,38621.67,10.0,20.24
6,30.7,26,38514.09,19.6,19.7
7,32.3,22,38435.02,27.2,18.8
8,30.5,35,36757.03,16.7,18.77
9,30.0,43,38276.86,19.4,17.77
10,28.7,38,38197.95,20.6,18.66
11,27.6,56,38119.3,25.8,18.6
12,24.8,46,38040.98,18.7,18.89
13,24.4,26,37963.1,11.2,18.6
14,25.8,39,37885.76,9.5,18.31
15,28.2,47,37809.05,10.9,18.27
16,30.3,30,37596.92,16.0,17.78
17,29.6,37,37571.95,11.4,17.8
18,28.7,36,37322.28,13.4,17.8
19,29.7,38,37163.19,11.5,17.76
20,29.4,31,36985.8,14.8,17.64
21,28.9,36,36812.69,15.7,17.4
22,27.4,30,36545.77,10.5,16.95
23,25.7,45,36195.48,14.1,16.74
24,23.3,54,35955.5,16.5,14.16
25,22.7,60,34654.48,15.9,15.11
26,23.4,72,34911.23,11.6,14.95
27,23.2,69,35713.81,13.1,15.87
28,23.1,52,35660.19,19.7,15.87
29,19.5,31,35677.57,13.4,16.72
30,18.9,27,35479.04,26.6,16.24
31,19.6,22,35424.36,25.7,16.22
32,20.8,28,35307.86,22.4,16.01
33,20.1,52,35254.42,9.8,15.76
34,20.7,52,35162.26,10.2,15.68
35,21.8,44,35104.77,11.4,15.5
36,22.9,37,35047.02,13.2,15.07
37,23.5,41,34989.09,10.8,14.9
38,22.2,45,34931.0,15.7,14.81
39,19.9,52,34872.83,17.4,14.94
40,17.8,45,34814.61,15.8,14.79
41,17.0,29,34756.4,12.0,14.71
42,18.9,60,34698.25,15.8,14.11
43,20.4,45,34640.23,20.9,14.23
44,22.9,44,34582.38,21.4,13.8
45,24.0,49,31262.83,19.2,13.18
46,23.6,46,26147.11,15.8,10.99
47,20.8,86,12134.59,18.4,7.51
48,20.4,100,32299.67,11.2,11.82
49,19.4,95,28666.09,15.0,10.27
