time_0,mean_temp,max_rel_humidity,sun_duration,wind_speed,swave_radiation
0,10.6,94,34450.91,15.2,14.63
1,11.2,93,30635.62,12.9,13.92
2,14.2,78,25483.96,16.1,12.33
3,13.7,91,1243.87,28.5,3.84
4,10.4,100,27556.83,18.3,9.54
5,8.8,94,22961.24,35.6,7.42
6,7.8,99,32934.77,11.6,12.48
7,8.1,92,34150.07,17.5,13.75
8,8.1,97,35438.36,9.7,16.3
9,8.9,88,35503.21,10.2,16.51
10,10.7,88,35758.32,13.1,16.62
11,11.7,95,35826.39,8.5,16.62
12,12.2,92,35994.76,9.1,16.66
13,12.8,88,36167.34,9.2,16.8
14,13.7,85,36235.95,9.8,16.76
15,14.8,90,36302.63,10.4,16.53
16,15.4,83,34012.44,12.3,17.26
17,16.1,83,36430.15,10.0,17.73
18,15.6,71,37203.84,19.9,15.69
19,15.5,93,37156.79,10.8,17.61
20,16.6,77,36235.86,11.0,15.17
21,17.8,60,33369.18,11.4,14.45
22,18.5,75,27641.56,10.3,13.27
23,18.1,80,10725.1,24.4,9.8
24,17.8,84,35454.86,14.4,17.79
25,16.3,84,29561.46,33.3,14.84
26,16.2,94,38333.37,11.4,18.73
27,16.8,82,38409.57,13.7,19.21
28,16.6,81,38486.42,20.4,19.51
29,16.5,75,38563.81,23.0,19.03
30,15.8,73,38641.64,17.3,19.63
31,16.1,71,37608.23,9.8,19.73
32,16.6,69,34512.75,16.9,16.88
33,13.0,93,35440.33,18.5,13.76
34,13.1,94,38955.35,19.2,19.45
35,14.7,92,39033.88,13.7,19.73
36,16.9,79,39112.26,20.5,20.94
37,17.6,75,36000.0,14.1,20.72
38,17.6,73,39268.14,13.9,20.07
39,17.3,71,39345.73,26.6,20.38
40,15.3,78,22303.82,22.3,14.21
41,12.2,86,32003.23,27.8,13.99
42,12.3,91,39583.05,12.6,19.26
43,13.2,92,37214.76,12.0,19.84
44,14.1,90,39600.0,31.9,18.85
45,15.9,88,39600.0,14.5,21.24
46,16.5,86,39600.0,10.8,21.83
47,18.5,89,39747.38,17.3,22.3
48,20.5,69,39744.98,10.7,22.63
49,20.1,61,31662.16,26.4,17.11
