time_0,mean_temp,max_rel_humidity,sun_duration,wind_speed,swave_radiation,google_search
0,8.1,96,32397.65,9.7,12.07,100
1,7.1,74,10800.0,29.4,5.23,77
2,4.9,72,32397.5,15.1,12.46,54
3,5.4,84,32438.43,10.2,12.32,0
4,6.4,90,32435.59,8.8,12.43,87
5,6.9,81,28120.26,39.3,10.63,0
6,5.6,74,32498.61,12.3,12.57,60
7,7.5,85,32497.16,8.4,12.58,47
8,9.8,76,32573.25,9.8,12.49,83
9,10.5,86,32491.58,10.4,12.56,54
10,11.2,88,32744.4,10.2,12.84,49
11,11.8,88,32400.0,10.3,10.87,66
12,13.9,75,32846.83,9.1,12.85,47
13,15.2,80,31339.35,11.9,10.17,52
14,14.0,74,11815.21,11.3,7.96,45
15,12.3,95,0.0,12.4,2.1,67
16,11.5,100,16018.94,16.9,7.88,46
17,12.1,98,7830.8,28.4,5.4,94
18,11.8,100,23299.89,8.9,9.15,65
19,11.7,99,22435.68,14.0,9.98,44
20,11.6,100,33569.34,13.7,13.64,46
21,12.6,91,33941.8,16.6,13.92,0
22,14.6,65,32983.79,25.6,13.47,50
23,15.0,76,34103.8,12.6,13.68,47
24,15.2,82,34288.79,11.2,14.08,0
25,16.2,89,32400.0,13.2,13.9,46
26,16.7,86,31979.54,30.0,13.5,0
27,12.1,93,33379.54,25.7,12.29,0
28,10.6,94,34450.91,15.2,14.63,0
29,11.2,93,30635.62,12.9,13.92,0
30,14.2,78,25483.96,16.1,12.33,48
31,13.7,91,1243.87,28.5,3.84,0
32,10.4,100,27556.83,18.3,9.54,0
33,8.8,94,22961.24,35.6,7.42,46
34,7.8,99,32934.77,11.6,12.48,49
35,8.1,92,34150.07,17.5,13.75,48
36,8.1,97,35438.36,9.7,16.3,68
37,8.9,88,35503.21,10.2,16.51,46
38,10.7,88,35758.32,13.1,16.62,0
39,11.7,95,35826.39,8.5,16.62,0
40,12.2,92,35994.76,9.1,16.66,0
41,12.8,88,36167.34,9.2,16.8,0
42,13.7,85,36235.95,9.8,16.76,0
43,14.8,90,36302.63,10.4,16.53,0
44,15.4,83,34012.44,12.3,17.26,48
45,16.1,83,36430.15,10.0,17.73,0
46,15.6,71,37203.84,19.9,15.69,0
47,15.5,93,37156.79,10.8,17.61,55
48,16.6,77,36235.86,11.0,15.17,0
49,17.8,60,33369.18,11.4,14.45,0
