time_0,mean_temp,max_rel_humidity,sun_duration,wind_speed,swave_radiation
0,37.3,28,41241.0,13.4,13.4
1,36.8,30,38657.89,38.0,38.0
2,34.5,32,39677.3,27.8,27.8
3,30.7,75,34872.34,18.3,18.3
4,27.2,83,39613.31,27.5,27.5
5,29.0,78,40356.7,12.6,12.6
6,30.4,72,40435.5,15.5,15.5
7,31.9,49,40428.75,20.6,20.6
8,32.5,39,40320.31,18.8,18.8
9,30.9,44,40314.33,18.0,18.0
10,29.8,35,40307.78,12.6,12.6
11,29.4,30,36057.87,28.0,28.0
12,28.6,28,40199.45,21.4,21.4
13,28.9,40,31693.37,14.9,14.9
14,28.6,33,26488.98,12.0,12.0
15,29.1,49,39810.08,9.7,9.7
16,30.4,46,39724.34,12.2,12.2
17,31.3,33,39638.2,15.0,15.0
18,31.6,35,39471.39,11.9,11.9
19,31.2,35,39387.1,13.3,13.3
20,29.9,38,39302.7,15.5,15.5
21,28.9,43,39145.46,34.2,34.2
22,24.9,46,37488.36,19.4,19.4
23,23.9,53,38830.73,14.4,14.4
24,24.3,57,38772.01,11.7,11.7
25,25.9,46,38696.94,9.8,9.8
26,28.1,34,38621.67,10.0,10.0
27,30.7,26,38514.09,19.6,19.6
28,32.3,22,38435.02,27.2,27.2
29,30.5,35,36757.03,16.7,16.7
30,30.0,43,38276.86,19.4,19.4
31,28.7,38,38197.95,20.6,20.6
32,27.6,56,38119.3,25.8,25.8
33,24.8,46,38040.98,18.7,18.7
34,24.4,26,37963.1,11.2,11.2
35,25.8,39,37885.76,9.5,9.5
36,28.2,47,37809.05,10.9,10.9
37,30.3,30,37596.92,16.0,16.0
38,29.6,37,37571.95,11.4,11.4
39,28.7,36,37322.28,13.4,13.4
40,29.7,38,37163.19,11.5,11.5
41,29.4,31,36985.8,14.8,14.8
42,28.9,36,36812.69,15.7,15.7
43,27.4,30,36545.77,10.5,10.5
44,25.7,45,36195.48,14.1,14.1
45,23.3,54,35955.5,16.5,16.5
46,22.7,60,34654.48,15.9,15.9
47,23.4,72,34911.23,11.6,11.6
48,23.2,69,35713.81,13.1,13.1
49,23.1,52,35660.19,19.7,19.7
