time_0,mean_temp,max_rel_humidity,sun_duration,wind_speed,swave_radiation
0,11.7,96,32331.47,10.6,10.6
1,12.0,100,32233.48,8.7,8.7
2,13.0,93,29059.86,8.7,8.7
3,17.1,66,32221.24,14.5,14.5
4,18.4,56,32217.39,15.7,15.7
5,15.5,77,31967.83,10.2,10.2
6,14.1,89,32143.44,9.1,9.1
7,12.3,49,32147.16,17.3,17.3
8,12.9,31,32088.58,20.0,20.0
9,12.4,44,30955.8,11.7,11.7
10,14.0,36,30523.68,11.1,11.1
11,12.1,63,32068.75,11.5,11.5
12,12.0,59,32085.87,10.7,10.7
13,14.2,66,32061.86,16.0,16.0
14,17.2,41,32081.88,24.5,24.5
15,15.9,49,32105.0,11.7,11.7
16,16.5,41,18627.93,14.7,14.7
17,16.8,42,17751.46,12.8,12.8
18,15.8,86,24942.78,21.9,21.9
19,15.6,85,32205.17,11.7,11.7
20,13.4,92,0.0,23.8,23.8
21,12.1,97,32264.13,16.4,16.4
22,10.3,100,32295.99,8.4,8.4
23,10.3,100,32330.1,9.8,9.8
24,9.2,97,32366.34,9.3,9.3
25,9.4,87,32400.0,9.3,9.3
26,10.1,89,32400.0,9.5,9.5
27,11.6,87,32400.0,20.0,20.0
28,12.8,74,32400.0,17.5,17.5
29,10.5,92,25200.0,10.0,10.0
30,10.7,90,4893.26,12.6,12.6
31,10.4,92,32400.0,10.5,10.5
32,10.0,91,22172.05,30.6,30.6
33,9.1,96,32400.0,13.6,13.6
34,7.9,98,28800.0,10.1,10.1
35,8.1,96,32397.65,9.7,9.7
36,7.1,74,10800.0,29.4,29.4
37,4.9,72,32397.5,15.1,15.1
38,5.4,84,32438.43,10.2,10.2
39,6.4,90,32435.59,8.8,8.8
40,6.9,81,28120.26,39.3,39.3
41,5.6,74,32498.61,12.3,12.3
42,7.5,85,32497.16,8.4,8.4
43,9.8,76,32573.25,9.8,9.8
44,10.5,86,32491.58,10.4,10.4
45,11.2,88,32744.4,10.2,10.2
46,11.8,88,32400.0,10.3,10.3
47,13.9,75,32846.83,9.1,9.1
48,15.2,80,31339.35,11.9,11.9
49,14.0,74,11815.21,11.3,11.3
