time_0,mean_temp,max_rel_humidity,sun_duration,wind_speed,swave_radiation
0,12.6,91,33941.8,16.6,16.6
1,14.6,65,32983.79,25.6,25.6
2,15.0,76,34103.8,12.6,12.6
3,15.2,82,34288.79,11.2,11.2
4,16.2,89,32400.0,13.2,13.2
5,16.7,86,31979.54,30.0,30.0
6,12.1,93,33379.54,25.7,25.7
7,10.6,94,34450.91,15.2,15.2
8,11.2,93,30635.62,12.9,12.9
9,14.2,78,25483.96,16.1,16.1
10,13.7,91,1243.87,28.5,28.5
11,10.4,100,27556.83,18.3,18.3
12,8.8,94,22961.24,35.6,35.6
13,7.8,99,32934.77,11.6,11.6
14,8.1,92,34150.07,17.5,17.5
15,8.1,97,35438.36,9.7,9.7
16,8.9,88,35503.21,10.2,10.2
17,10.7,88,35758.32,13.1,13.1
18,11.7,95,35826.39,8.5,8.5
19,12.2,92,35994.76,9.1,9.1
20,12.8,88,36167.34,9.2,9.2
21,13.7,85,36235.95,9.8,9.8
22,14.8,90,36302.63,10.4,10.4
23,15.4,83,34012.44,12.3,12.3
24,16.1,83,36430.15,10.0,10.0
25,15.6,71,37203.84,19.9,19.9
26,15.5,93,37156.79,10.8,10.8
27,16.6,77,36235.86,11.0,11.0
28,17.8,60,33369.18,11.4,11.4
29,18.5,75,27641.56,10.3,10.3
30,18.1,80,10725.1,24.4,24.4
31,17.8,84,35454.86,14.4,14.4
32,16.3,84,29561.46,33.3,33.3
33,16.2,94,38333.37,11.4,11.4
34,16.8,82,38409.57,13.7,13.7
35,16.6,81,38486.42,20.4,20.4
36,16.5,75,38563.81,23.0,23.0
37,15.8,73,38641.64,17.3,17.3
38,16.1,71,37608.23,9.8,9.8
39,16.6,69,34512.75,16.9,16.9
40,13.0,93,35440.33,18.5,18.5
41,13.1,94,38955.35,19.2,19.2
42,14.7,92,39033.88,13.7,13.7
43,16.9,79,39112.26,20.5,20.5
44,17.6,75,36000.0,14.1,14.1
45,17.6,73,39268.14,13.9,13.9
46,17.3,71,39345.73,26.6,26.6
47,15.3,78,22303.82,22.3,22.3
48,12.2,86,32003.23,27.8,27.8
49,12.3,91,39583.05,12.6,12.6
