time_0,mean_temp,max_rel_humidity,sun_duration,wind_speed,swave_radiation
0,31.9,49,40428.75,20.6,20.6
1,32.5,39,40320.31,18.8,18.8
2,30.9,44,40314.33,18.0,18.0
3,29.8,35,40307.78,12.6,12.6
4,29.4,30,36057.87,28.0,28.0
5,28.6,28,40199.45,21.4,21.4
6,28.9,40,31693.37,14.9,14.9
7,28.6,33,26488.98,12.0,12.0
8,29.1,49,39810.08,9.7,9.7
9,30.4,46,39724.34,12.2,12.2
10,31.3,33,39638.2,15.0,15.0
11,31.6,35,39471.39,11.9,11.9
12,31.2,35,39387.1,13.3,13.3
13,29.9,38,39302.7,15.5,15.5
14,28.9,43,39145.46,34.2,34.2
15,24.9,46,37488.36,19.4,19.4
16,23.9,53,38830.73,14.4,14.4
17,24.3,57,38772.01,11.7,11.7
18,25.9,46,38696.94,9.8,9.8
19,28.1,34,38621.67,10.0,10.0
20,30.7,26,38514.09,19.6,19.6
21,32.3,22,38435.02,27.2,27.2
22,30.5,35,36757.03,16.7,16.7
23,30.0,43,38276.86,19.4,19.4
24,28.7,38,38197.95,20.6,20.6
25,27.6,56,38119.3,25.8,25.8
26,24.8,46,38040.98,18.7,18.7
27,24.4,26,37963.1,11.2,11.2
28,25.8,39,37885.76,9.5,9.5
29,28.2,47,37809.05,10.9,10.9
30,30.3,30,37596.92,16.0,16.0
31,29.6,37,37571.95,11.4,11.4
32,28.7,36,37322.28,13.4,13.4
33,29.7,38,37163.19,11.5,11.5
34,29.4,31,36985.8,14.8,14.8
35,28.9,36,36812.69,15.7,15.7
36,27.4,30,36545.77,10.5,10.5
37,25.7,45,36195.48,14.1,14.1
38,23.3,54,35955.5,16.5,16.5
39,22.7,60,34654.48,15.9,15.9
40,23.4,72,34911.23,11.6,11.6
41,23.2,69,35713.81,13.1,13.1
42,23.1,52,35660.19,19.7,19.7
43,19.5,31,35677.57,13.4,13.4
44,18.9,27,35479.04,26.6,26.6
45,19.6,22,35424.36,25.7,25.7
46,20.8,28,35307.86,22.4,22.4
47,20.1,52,35254.42,9.8,9.8
48,20.7,52,35162.26,10.2,10.2
49,21.8,44,35104.77,11.4,11.4
