"Day","Mean","Lower","Upper"
51,0.146820812827614,0.137294744173264,0.153356357176213
52,0.14664062369849,0.136856508045742,0.15317307571406
53,0.146524589760477,0.136652661373277,0.153152334738283
54,0.146519891115186,0.136623803265909,0.1543549552834
55,0.146430745196828,0.13668024763616,0.155069502242447
56,0.146099451530956,0.136276715086949,0.155289579050263
57,0.145521174491806,0.135662468726267,0.154761176593759
58,0.144769975514742,0.1349733503278,0.15336379637783
59,0.14393563815742,0.133661568212329,0.15212443706012
60,0.143094951736698,0.133043003966088,0.152351196394713
61,0.142324835009463,0.132526652950857,0.152199931555663
62,0.141675144249937,0.131971044614451,0.152275796395393
63,0.141162605466957,0.131477610767755,0.152297815458029
64,0.140774176928959,0.131004439210199,0.15227117991536
65,0.140483291288534,0.130527341780545,0.152097391315309
66,0.140251315929136,0.130060587608806,0.151713778753246
67,0.14002936860575,0.129767436136022,0.151666251914036
68,0.139761908624416,0.129529642147335,0.151715603561427
69,0.139409962707507,0.129106781771448,0.151585076661301
70,0.138970227562588,0.128564452947882,0.151401858740775
71,0.138464430359219,0.128021583960519,0.151540337279817
72,0.137928621631136,0.127503786433243,0.151746424344442
73,0.137405634531007,0.127110002697379,0.151892917000352
74,0.136928021287327,0.126581756162455,0.151983495498734
75,0.136518599629666,0.126076915422264,0.152080937189656
76,0.136183453684577,0.125624221990366,0.152153208742072
77,0.135916173681297,0.125228375597559,0.152134880183718
78,0.135698942101207,0.12488464889197,0.151919313020627
