time_0,beta
0,0.08206285049333333
1,0.07455918385333334
2,0.07981755854
3,0.08869440714333333
4,0.08324115005333334
5,0.08396064359333334
6,0.08837572438666666
7,0.08892796575666667
8,0.08721904549666668
9,0.08844416887666666
10,0.09297040214333334
11,0.09841208169666665
12,0.10672840595666667
13,0.11263288529
14,0.11295312228333332
15,0.11153187682
16,0.10915885033666668
17,0.11656734676999998
18,0.11242639639666666
19,0.10744546746000003
20,0.10549462723666667
21,0.10188382939333335
22,0.09576102499000001
23,0.09634269770666666
24,0.10272055395
25,0.09576336169666667
26,0.10030757499666666
27,0.0988852206
28,0.08588954081
29,0.07733923172666667
30,0.07233643756
31,0.07590279385
32,0.07256310272333334
33,0.06832282057333333
34,0.06688763209333333
35,0.06195739482999999
36,0.057844889010000004
37,0.05460513487999999
38,0.055340545871666674
39,0.05351426385666667
40,0.050832418501666664
41,0.04925807944466667
42,0.05250788473833333
43,0.050484079854333334
44,0.050912659070000005
45,0.05797015748666667
46,0.06426309833666667
47,0.06335958322333335
48,0.06845492515666665
49,0.06548579164333333
