time_0,beta
0,0.07528046046666667
1,0.0783592295
2,0.08195508297
3,0.09470342969333333
4,0.09006100143333333
5,0.08456307115666667
6,0.08370411865
7,0.07976339355666666
8,0.07443757744333332
9,0.06996559045
10,0.07375649920666667
11,0.06889771738333333
12,0.06809940438666667
13,0.06822904815333333
14,0.07359876255333334
15,0.08005648403333333
16,0.08336678366
17,0.08128984916666666
18,0.07760760963
19,0.07540470320666666
20,0.07405127313333333
21,0.07544813809666666
22,0.07835500500666667
23,0.07454225003
24,0.07328399409333333
25,0.07229928087666666
26,0.06656391199
27,0.06458662605666668
28,0.05776144565000001
29,0.058812211236666675
30,0.06232954881333334
31,0.05588736129333333
32,0.05276465522
33,0.055844746063333325
34,0.05192535741333334
35,0.06399211613000001
36,0.06421571350333333
37,0.06540449678666667
38,0.07570936434666667
39,0.07937375496333333
40,0.07927049531333334
41,0.07685349732
42,0.08282285302333332
43,0.08257506416999999
44,0.08641408945
45,0.10079742759666667
46,0.09941268721999999
47,0.10374524082
48,0.09794048506666667
49,0.10026412687000001
