time_0,beta
0,0.04130064977299999
1,0.03425837679073334
2,0.027978206618900003
3,0.025948144861333334
4,0.024569161668966666
5,0.01958092212573
6,0.021889922790266667
7,0.024711564298933335
8,0.028716326732066668
9,0.0260480982611
10,0.03132473157643333
11,0.040528606211666665
12,0.05196972371866666
13,0.05621534171666666
14,0.05805826164666667
15,0.05972715364
16,0.06072116079333334
17,0.06615658850999999
18,0.0726037292
19,0.08763308654666666
20,0.09283645104333334
21,0.09729184831333333
22,0.10080943263333333
23,0.10297644398333333
24,0.10459021931999998
25,0.10450832217
26,0.10681698992666668
27,0.10724726046333335
28,0.10380182022000002
29,0.09905879652666667
30,0.08605753505000001
31,0.08790762643000001
32,0.08751586026
33,0.08984914794333333
34,0.09055227369333332
35,0.07986211852333332
36,0.07982556299
37,0.07813170568
38,0.07563084684666667
39,0.07945518792666666
40,0.07925182438666667
41,0.07882905497666666
42,0.08214638923666666
43,0.07974579814333332
44,0.07739741126666666
45,0.08234455816666668
46,0.07706714360000001
47,0.08093596037333332
48,0.07284980240666666
49,0.07428013561
