time_0,beta
0,0.14460808633
1,0.14692770577
2,0.14834852545
3,0.14332770491666666
4,0.14238839135666667
5,0.15020735170333335
6,0.15748684118666664
7,0.15694514748
8,0.15344714286666666
9,0.1547147358333333
10,0.15552356309666668
11,0.15952539526666668
12,0.15206154914666667
13,0.15077929576000001
14,0.14487432889666665
15,0.14530025048333334
16,0.14718103725
17,0.15035904964333333
18,0.14612031883999999
19,0.13986336060333332
20,0.13313544952666664
21,0.13276200447666667
22,0.12587470083000002
23,0.12228478812666668
24,0.12874726633333333
25,0.12543335863333333
26,0.13491541209666666
27,0.14195006731
28,0.14246983021666665
29,0.14293760281
30,0.14900614353999997
31,0.14898820794999998
32,0.15046256811333333
33,0.14978799363666667
34,0.14980764882
35,0.15165399153333334
36,0.14700646879666665
37,0.14472831338
38,0.15308940807000002
39,0.15174590053666667
40,0.15180786388666664
41,0.17092721794666665
42,0.202922688
43,0.20557864846666668
44,0.204586314
45,0.20570820533333334
46,0.20215844789999998
47,0.18254228269999997
48,0.1671183846333333
49,0.165798158
