time_0,beta
0,0.14520981922999998
1,0.13962602671000002
2,0.12052987787000002
3,0.11414055441
4,0.11148481399
5,0.10911339006000001
6,0.10562901088999999
7,0.10024126185000001
8,0.09532675396000002
9,0.09295725424000001
10,0.08934311639999999
11,0.08553942516000002
12,0.08266645834
13,0.08008781053000001
14,0.08038628686
15,0.08117725772
16,0.07984392895
17,0.08109274353999998
18,0.08065573951999999
19,0.07654969965
20,0.07677883675000001
21,0.07522533462
22,0.07235975659999999
23,0.07539814354
24,0.08043167212
25,0.08056073396999999
26,0.08223775029000001
27,0.07947855326000001
28,0.07636654017
29,0.06999693023
30,0.06316340117000001
31,0.06093106803000001
32,0.05818450901
33,0.054206860350000004
34,0.05216148811000001
35,0.04841552683999999
36,0.04547425718
37,0.03953472414
38,0.0363958313
39,0.03339486335499999
40,0.030238872382
41,0.0302215921007
42,0.030013146314
43,0.031522356739
44,0.027373206618000002
45,0.031250552211
46,0.041224962429
47,0.05858189295400001
48,0.06826695091639999
49,0.07193921157
