time_0,beta
0,0.07544813809666666
1,0.07835500500666667
2,0.07454225003
3,0.07328399409333333
4,0.07229928087666666
5,0.06656391199
6,0.06458662605666668
7,0.05776144565000001
8,0.058812211236666675
9,0.06232954881333334
10,0.05588736129333333
11,0.05276465522
12,0.055844746063333325
13,0.05192535741333334
14,0.06399211613000001
15,0.06421571350333333
16,0.06540449678666667
17,0.07570936434666667
18,0.07937375496333333
19,0.07927049531333334
20,0.07685349732
21,0.08282285302333332
22,0.08257506416999999
23,0.08641408945
24,0.10079742759666667
25,0.09941268721999999
26,0.10374524082
27,0.09794048506666667
28,0.10026412687000001
29,0.11484800318333332
30,0.10966814812
31,0.09869678127
32,0.09494130574000001
33,0.09317674195333334
34,0.09428272501666667
35,0.08485472237333333
36,0.08230397111
37,0.07973861056666666
38,0.07721891136666666
39,0.07379212827666666
40,0.07413081098
41,0.07288975812666666
42,0.07379663118666667
43,0.07335848837999999
44,0.07383042324
45,0.07345140106
46,0.07104249837266667
47,0.07495374016
48,0.0819366939
49,0.08331088845333333
