"Day","Mean","Lower","Upper"
51,0.0818755178317167,0.0717131054366586,0.0871190517855491
52,0.0812004266004549,0.071378822429232,0.0863923406525699
53,0.0807960643866906,0.0712414742359569,0.0867344029863194
54,0.0807775335943437,0.0713360728998696,0.0860053337665884
55,0.0806823735159866,0.0711812180503916,0.0859228278865715
56,0.0804025088040301,0.0713020886395975,0.0853871957572425
57,0.0801031346339859,0.0712862186086173,0.085312217078994
58,0.0799089380475673,0.0712849939946526,0.0852670629364981
59,0.0796826178042065,0.0711810041426401,0.0855659456578471
60,0.0794448162131332,0.0710587607641927,0.0854477432922154
61,0.0792121523856122,0.0710183144165726,0.0850395135956009
62,0.0790177912098999,0.071015582134345,0.0851806726717881
63,0.0788124284146336,0.0707988227979903,0.0851327270637576
64,0.0786070313251194,0.0708572582804466,0.0853904272963227
65,0.0784087709582495,0.0708115049165357,0.0854557783676414
66,0.0782079768710519,0.070736154148542,0.0854296646064453
67,0.0780171879958104,0.0705961247562341,0.085288179400271
68,0.0778611348979404,0.0705436255333693,0.0852864789870665
69,0.0776984058102009,0.0704954426099716,0.0853980058048465
70,0.0775445284456443,0.0704436308172745,0.0855807598359308
71,0.0774042641277105,0.0703634217569754,0.0855749225711911
72,0.0772330210823975,0.0703662898924523,0.0853059790722441
73,0.07709797625737,0.0703260827747023,0.085539126622495
74,0.0769616462663113,0.0703849761105722,0.0855643422361275
75,0.0768276179808962,0.0701949251183534,0.0856983460626072
76,0.0766852217072035,0.0702194820570068,0.0855904887902239
77,0.0765586381802175,0.0699677475288847,0.0854823029634645
78,0.0764712525288873,0.070102588418305,0.0855170434402674
