time_0,beta
0,0.06227343682999999
1,0.055262801033333336
2,0.04911139555666666
3,0.04937179454666667
4,0.04851012556333333
5,0.046020108728666666
6,0.045523016608333335
7,0.04130064977299999
8,0.03425837679073334
9,0.027978206618900003
10,0.025948144861333334
11,0.024569161668966666
12,0.01958092212573
13,0.021889922790266667
14,0.024711564298933335
15,0.028716326732066668
16,0.0260480982611
17,0.03132473157643333
18,0.040528606211666665
19,0.05196972371866666
20,0.05621534171666666
21,0.05805826164666667
22,0.05972715364
23,0.06072116079333334
24,0.06615658850999999
25,0.0726037292
26,0.08763308654666666
27,0.09283645104333334
28,0.09729184831333333
29,0.10080943263333333
30,0.10297644398333333
31,0.10459021931999998
32,0.10450832217
33,0.10681698992666668
34,0.10724726046333335
35,0.10380182022000002
36,0.09905879652666667
37,0.08605753505000001
38,0.08790762643000001
39,0.08751586026
40,0.08984914794333333
41,0.09055227369333332
42,0.07986211852333332
43,0.07982556299
44,0.07813170568
45,0.07563084684666667
46,0.07945518792666666
47,0.07925182438666667
48,0.07882905497666666
49,0.08214638923666666
