time_0,beta
0,0.08334125889
1,0.08500904010333332
2,0.08572122027000001
3,0.08941041637333333
4,0.08429602744666667
5,0.08248461393333334
6,0.07797931966666667
7,0.07528046046666667
8,0.0783592295
9,0.08195508297
10,0.09470342969333333
11,0.09006100143333333
12,0.08456307115666667
13,0.08370411865
14,0.07976339355666666
15,0.07443757744333332
16,0.06996559045
17,0.07375649920666667
18,0.06889771738333333
19,0.06809940438666667
20,0.06822904815333333
21,0.07359876255333334
22,0.08005648403333333
23,0.08336678366
24,0.08128984916666666
25,0.07760760963
26,0.07540470320666666
27,0.07405127313333333
28,0.07544813809666666
29,0.07835500500666667
30,0.07454225003
31,0.07328399409333333
32,0.07229928087666666
33,0.06656391199
34,0.06458662605666668
35,0.05776144565000001
36,0.058812211236666675
37,0.06232954881333334
38,0.05588736129333333
39,0.05276465522
40,0.055844746063333325
41,0.05192535741333334
42,0.06399211613000001
43,0.06421571350333333
44,0.06540449678666667
45,0.07570936434666667
46,0.07937375496333333
47,0.07927049531333334
48,0.07685349732
49,0.08282285302333332
