time_0,beta
0,0.14961815992
1,0.14923332239666667
2,0.1529805874
3,0.14910390679333332
4,0.14908018545666665
5,0.14256278268333333
6,0.14467826966333333
7,0.15697661206666666
8,0.16121591334666666
9,0.16225940928
10,0.16975012203333334
11,0.17406343573333335
12,0.17690233593333335
13,0.1787457224
14,0.17717695936666666
15,0.17719247603333335
16,0.1755187349
17,0.18014777636666668
18,0.18131598456666667
19,0.17863557923333334
20,0.17909104716666666
21,0.1765302003
22,0.1750925822
23,0.17330486806666667
24,0.16980457642
25,0.1701666631
26,0.1685878378333333
27,0.1698063617666667
28,0.15863150706666668
29,0.15070094105333334
30,0.15118304436666666
31,0.1543701907
32,0.15184091588333332
33,0.15148588468
34,0.14592700923333335
35,0.13845976943333332
36,0.13526219418
37,0.1319242937033333
38,0.13171013277
39,0.13806423200999998
40,0.14184421369999997
41,0.14696431877
42,0.14863901767
43,0.14407840483
44,0.13784191351
45,0.1327258646466667
46,0.12987520287999998
47,0.12311055930666666
48,0.11666598414666667
49,0.11091790687666667
