time_0,beta
0,0.19590094683333334
1,0.19630709156666667
2,0.19392086396666666
3,0.18977626386666666
4,0.18201843143333335
5,0.17325325406666664
6,0.16821071676666666
7,0.16608787146666668
8,0.16520989396666666
9,0.15516496871666666
10,0.15268299123666668
11,0.15042299717666666
12,0.14963333894000003
13,0.15007504933000002
14,0.15385301187
15,0.15276815736
16,0.15461423169666666
17,0.15493498357
18,0.15365357706666666
19,0.15030687542333332
20,0.14528929073333335
21,0.13941369197
22,0.13260335326666667
23,0.13056990585333333
24,0.12860472099
25,0.13045843345
26,0.13341131011333335
27,0.13517954112
28,0.13622332709666665
29,0.13631532544333333
30,0.13734922183
31,0.13961081566
32,0.1488999272033333
33,0.15563322554666667
34,0.16073003916666667
35,0.15838976743000002
36,0.15324860151333336
37,0.14495036542333334
38,0.14104891867000002
39,0.13969236074999997
40,0.14011427014333333
41,0.13710329221
42,0.13120911235000002
43,0.12696823471333335
44,0.12088008690666667
45,0.11625648475666665
46,0.10872171048333333
47,0.09991175606333333
48,0.09424205677666667
49,0.08812967447333334
