"Day","Mean","Lower","Upper"
51,0.0901380565983782,0.0796457198018781,0.0965105907873113
52,0.0901625530156407,0.0800185506293511,0.0967417130312033
53,0.0896393774791975,0.0798938948465323,0.0962737710061109
54,0.0891199838646796,0.0796277936424668,0.0961760988817007
55,0.0887136908696613,0.0794525932571079,0.0957850913060771
56,0.0882808522094501,0.0792641166620947,0.0953460414175609
57,0.0877945837429968,0.0789955313542091,0.0947518031790276
58,0.0873164022790598,0.0787323533637993,0.094122588259749
59,0.0868723909764429,0.078459870338434,0.0935240285028915
60,0.0864475505851063,0.078195766915294,0.0929401518195228
61,0.0860320436474851,0.0779373787809967,0.0923773975885307
62,0.0856312256436183,0.077687568730344,0.0918357275381498
63,0.0852497682658291,0.0774484305467269,0.0913915249434445
64,0.08488560269033,0.0772185794099984,0.0910704909330526
65,0.0845357762728375,0.0769822994494134,0.0907755510221905
66,0.0842000759803181,0.0767303488909135,0.090602846911319
67,0.0838790309948992,0.0764900066796275,0.0904023352250301
68,0.0835719896296363,0.0762613054171883,0.0901413426104062
69,0.0832777841224183,0.0760430452470643,0.0898922470450683
70,0.0829957789118646,0.0758000056680919,0.0896582161544037
71,0.0827257045498251,0.0755522278002671,0.089480746391415
72,0.0824670992263626,0.0753154581331091,0.0893739321653639
73,0.0822193087295635,0.0750854762423077,0.0892237319221959
74,0.0819817887623645,0.0748643601927687,0.0890543353748313
75,0.0817541530265549,0.0747108455185003,0.0888269503942389
76,0.0815360066976142,0.0745728653355172,0.0885884989087626
77,0.0813268895185814,0.0744406213212997,0.0884100774388206
78,0.081126369304468,0.074313867000565,0.088294576801558
