time_0,mean_temp,max_rel_humidity,sun_duration,wind_speed,swave_radiation,google_search
0,5.8,83,37647.93,32.8,17.94,66
1,4.5,66,36943.5,26.8,14.14,0
2,1.1,68,34121.08,18.3,15.9,0
3,0.6,92,30214.15,12.3,15.7,0
4,3.3,91,36616.79,16.9,17.44,0
5,1.6,86,22555.05,17.8,12.13,100
6,-1.2,84,1905.95,14.8,7.71,0
7,0.2,81,38349.84,7.4,19.77,75
8,3.6,82,38579.8,10.5,19.9,0
9,4.5,85,33287.32,12.3,14.9,0
10,5.4,86,34400.66,16.2,13.96,0
11,4.4,100,29146.38,18.7,12.82,93
12,0.3,100,0.0,24.7,8.19,0
13,-0.6,98,33655.74,16.3,19.44,0
14,-3.9,94,39669.19,11.9,20.16,0
15,-0.2,94,36801.68,9.0,19.86,0
16,-1.2,95,40314.48,9.2,21.33,72
17,2.4,91,40533.7,9.3,21.26,0
18,2.6,94,40693.04,11.3,21.15,77
19,6.0,85,40852.29,21.7,21.62,0
20,6.6,87,38688.61,16.2,21.29,0
21,5.7,89,41170.07,16.6,19.83,0
22,3.2,90,32916.67,30.2,16.55,0
23,-3.7,83,23900.06,14.6,16.07,0
24,-2.9,85,39174.05,11.6,21.69,80
25,1.1,86,39429.49,11.2,22.66,0
26,3.0,86,41441.1,15.6,22.28,0
27,3.7,98,29079.8,17.2,17.91,0
28,4.7,99,42261.12,16.0,21.45,0
29,5.9,99,40575.43,14.7,21.16,0
30,4.8,100,33251.7,18.2,17.2,0
31,5.2,97,42719.7,15.9,23.67,0
32,10.0,70,42830.14,14.4,22.34,0
33,9.7,84,42922.2,15.5,24.24,0
34,12.0,78,42833.48,31.2,23.89,0
35,6.4,53,11909.34,75.6,10.46,0
36,6.5,47,43198.23,70.8,23.57,0
37,4.5,78,43200.0,10.2,24.4,0
38,6.4,73,43200.0,13.7,25.09,0
39,8.1,72,43200.0,18.5,22.14,0
40,8.4,70,43200.0,9.4,24.31,0
41,11.9,77,43200.0,16.0,25.13,0
42,14.8,68,42759.77,12.2,22.02,0
43,15.2,76,43329.33,29.2,25.53,0
44,12.2,57,38634.42,40.6,25.26,77
45,11.9,89,36163.58,27.4,20.17,0
46,12.3,65,39608.67,29.1,21.4,0
47,2.8,72,14645.61,14.8,11.15,0
48,2.6,87,4520.4,19.3,10.35,0
49,1.8,89,22539.3,16.6,16.25,0
