time_0,mean_temp,max_rel_humidity,sun_duration,wind_speed,swave_radiation,google_search
0,-0.7,88,29391.02,14.8,9.32,49
1,2.4,83,29373.75,15.8,9.38,52
2,-0.4,88,25241.93,6.7,8.58,45
3,2.4,92,28845.54,11.5,8.85,75
4,2.8,93,28800.0,8.6,7.29,49
5,3.4,93,28894.27,13.4,8.76,48
6,1.2,90,29181.33,8.2,9.09,88
7,2.8,96,25955.1,12.2,7.44,100
8,-1.7,96,14540.7,20.2,5.99,68
9,-6.6,78,21818.11,7.8,8.16,86
10,-0.9,65,3600.0,9.2,3.62,61
11,0.4,73,25551.57,9.1,8.25,49
12,-2.9,76,29335.38,10.7,9.51,84
13,-2.0,79,29296.98,13.2,9.49,65
14,-0.4,78,29435.33,12.0,9.45,59
15,-2.1,86,28800.0,8.4,8.97,97
16,-0.6,88,28895.93,12.5,9.04,74
17,-1.5,87,29521.14,12.1,9.37,0
18,-2.2,77,29588.67,9.8,9.65,72
19,-2.8,85,10840.78,9.7,5.85,52
20,-1.9,89,26918.11,10.0,8.9,0
21,-3.0,78,30000.84,14.8,9.94,83
22,-3.8,67,26857.79,16.8,8.83,85
23,-4.6,72,26523.16,34.6,8.91,57
24,-2.8,67,27180.29,15.8,8.56,94
25,-1.1,59,29491.13,38.9,10.11,58
26,-5.9,67,19464.83,24.8,6.52,49
27,-6.4,67,30338.87,33.6,9.66,53
28,-18.2,75,22569.83,19.5,8.67,56
29,-20.9,86,20354.34,8.7,7.69,47
30,-22.8,90,12768.32,24.0,7.16,45
31,-18.7,75,30836.08,16.8,11.04,47
32,-7.4,83,21600.0,13.7,9.26,0
33,-5.3,81,29616.12,21.7,9.65,0
34,-9.5,90,29048.92,10.0,10.0,50
35,-5.9,96,25057.92,7.9,9.78,60
36,-1.8,95,15782.7,12.3,7.75,40
37,-1.3,94,28800.0,10.9,10.86,0
38,-2.1,92,31187.21,10.2,10.69,0
39,-1.8,94,31679.77,8.2,9.75,0
40,-0.6,84,29076.32,10.5,10.79,34
41,-0.9,96,13134.89,11.5,5.97,0
42,-4.4,91,32309.3,13.0,12.24,0
43,-1.0,86,32309.34,12.8,11.92,0
44,1.1,91,31621.61,9.9,10.79,43
45,1.5,92,32800.35,9.2,12.34,0
46,2.0,84,28684.16,8.9,11.79,61
47,3.7,95,33105.62,10.5,12.42,68
48,1.8,91,27362.22,16.5,10.26,51
49,0.7,100,0.0,17.3,1.47,0
