time_0,mean_temp,max_rel_humidity,sun_duration,wind_speed,swave_radiation,google_search
0,-1.7,87,0.0,17.9,4.38,0
1,-7.3,91,24273.21,10.9,12.7,0
2,-8.9,79,34458.37,12.2,15.43,0
3,-6.2,86,34310.95,12.5,14.65,0
4,0.3,86,28986.3,15.7,10.14,59
5,4.0,88,33774.44,11.3,12.56,64
6,8.7,87,34080.19,12.7,12.73,58
7,7.1,90,33999.87,10.2,13.23,0
8,9.6,78,33855.34,17.1,12.67,53
9,8.6,90,33078.81,10.7,12.51,87
10,9.5,81,33100.15,23.6,12.88,65
11,3.9,97,8650.72,11.9,3.29,0
12,2.1,98,33293.58,8.8,12.71,0
13,0.6,83,33158.13,7.4,12.83,0
14,2.9,78,32821.67,13.7,12.35,75
15,4.0,76,32723.22,13.2,12.24,75
16,3.6,80,32536.6,11.6,11.93,66
17,6.5,74,25910.52,12.4,10.9,0
18,4.9,84,30092.36,13.3,9.69,57
19,8.3,84,26060.16,14.2,10.03,0
20,6.7,95,31850.01,10.5,10.89,65
21,5.5,92,26778.14,9.6,10.24,63
22,5.8,90,31406.24,20.0,10.59,58
23,4.1,95,5212.73,35.2,4.18,50
24,4.1,86,31381.6,9.8,10.94,65
25,5.6,71,31242.91,13.2,10.92,0
26,1.3,79,11054.6,17.5,5.45,63
27,-5.1,74,10240.58,22.9,5.98,0
28,-6.9,75,16295.39,13.2,6.49,0
29,-3.7,74,30938.01,7.6,10.94,0
30,-2.9,68,30863.76,12.7,10.76,62
31,0.3,74,30790.73,11.2,10.72,60
32,-0.3,78,30599.33,8.3,10.58,59
33,-2.1,79,29475.32,11.7,9.26,0
34,-2.7,85,24056.55,9.7,8.04,49
35,-1.7,83,29220.98,32.8,9.58,0
36,0.6,91,8475.77,16.5,4.79,55
37,3.7,81,30034.34,23.8,9.03,60
38,3.5,87,30267.61,12.8,9.62,68
39,3.3,85,30209.99,10.8,9.97,71
40,3.8,80,30123.52,13.2,9.49,59
41,0.9,83,15854.77,22.7,6.15,57
42,-4.8,91,29210.15,10.9,9.31,100
43,-2.8,76,18166.08,18.5,6.17,0
44,1.0,87,29284.48,17.7,8.99,0
45,-1.5,96,0.0,10.5,3.68,84
46,-0.9,96,28800.0,17.1,7.26,58
47,-3.1,99,19756.49,10.5,7.09,82
48,-0.7,78,29444.53,11.5,9.35,70
49,-0.7,88,29391.02,14.8,9.32,68
