time_0,beta
0,0.06493661598
1,0.06724946142666667
2,0.06912873957866666
3,0.06405407602433334
4,0.06681422006000001
5,0.06872751054333334
6,0.06465913825
7,0.06867883139
8,0.06860711019
9,0.06762426258333333
10,0.08123793951666668
11,0.07668539021666668
12,0.07846043580333334
13,0.07866590077666667
14,0.07762382521666666
15,0.07602035606333334
16,0.08878009928666666
17,0.09604331531333334
18,0.09548944486000001
19,0.09774305863333332
20,0.09814673345666666
21,0.09608569903
22,0.09758818578666667
23,0.09608323387
24,0.09807015198333331
25,0.09639334183333334
26,0.09579687708666666
27,0.09340549412666665
28,0.08212611517333333
29,0.08203491920333332
30,0.08070232036333334
31,0.08753655106
32,0.09615237419333333
33,0.10249261582666667
34,0.10627684894666667
35,0.10493315526666666
36,0.09767601637333333
37,0.09717063274666667
38,0.09826988789333332
39,0.10406655092333333
40,0.10355173321999998
41,0.10061354386
42,0.09641384621999999
43,0.09612517194
44,0.10035333881666667
45,0.10035321603999998
46,0.09958998327000002
47,0.09878817872666668
48,0.08980127660000001
49,0.08373477680000001
