beta,date
0.133053354,2023-12-02
0.13291088293,2023-12-03
0.13441826898,2023-12-04
0.13591925577,2023-12-05
0.13107868979,2023-12-06
0.13234642904000002,2023-12-07
0.13209707753,2023-12-08
0.13383762340000002,2023-12-09
0.13553966222,2023-12-10
0.13890397292,2023-12-11
0.14278738394999999,2023-12-12
0.14481087081,2023-12-13
0.14679174856,2023-12-14
0.14791219395,2023-12-15
0.14922547849999998,2023-12-16
0.14738324884,2023-12-17
0.14929600796,2023-12-18
0.1557240711,2023-12-19
0.15726055014999998,2023-12-20
0.15850359960000002,2023-12-21
0.161799231,2023-12-22
0.16470550019999997,2023-12-23
0.16688623799999994,2023-12-24
0.1683183704,2023-12-25
0.17031999415000004,2023-12-26
0.1677920499,2023-12-27
0.1653252525,2023-12-28
0.15828457927999998,2023-12-29
0.14520981922999998,2023-12-30
0.13962602671000002,2023-12-31
0.12052987787000002,2024-01-01
0.11414055441,2024-01-02
0.11148481399,2024-01-03
0.10911339006000001,2024-01-04
0.10562901088999999,2024-01-05
0.10024126185000001,2024-01-06
0.09532675396000002,2024-01-07
0.09295725424000001,2024-01-08
0.08934311639999999,2024-01-09
0.08553942516000002,2024-01-10
0.08266645834,2024-01-11
0.08008781053000001,2024-01-12
0.08038628686,2024-01-13
0.08117725772,2024-01-14
0.07984392895,2024-01-15
0.08109274353999998,2024-01-16
0.08065573951999999,2024-01-17
0.07654969965,2024-01-18
0.07677883675000001,2024-01-19
0.07522533462,2024-01-20
