time_0,beta
0,0.10328350978999999
1,0.09969462035333332
2,0.09784719968000002
3,0.09985108321666668
4,0.10245023862
5,0.10535354885666666
6,0.10268446414333333
7,0.10695407605333335
8,0.10743851845999998
9,0.10260668336333333
10,0.09939827051666668
11,0.10492834226333334
12,0.10921678866333336
13,0.11559819383666668
14,0.12363529418
15,0.12106886608333334
16,0.12757693653333335
17,0.12788467995666664
18,0.11945963787333332
19,0.12423542092666665
20,0.13024872695999998
21,0.13190190074
22,0.13911671051
23,0.13739856917999999
24,0.13762845743
25,0.13608766528
26,0.13541909006333333
27,0.14583273687666667
28,0.14121597317999998
29,0.1451696024
30,0.14911150945999999
31,0.15872433833333333
32,0.15763294165
33,0.1517084737866667
34,0.15028549003333333
35,0.14873690624333336
36,0.14330354552333333
37,0.14383207320666666
38,0.14330074907333337
39,0.13877799233333335
40,0.14517222876666666
41,0.14361497809999998
42,0.1447363499133333
43,0.14126336604
44,0.14966185636666665
45,0.1500038463266667
46,0.15508604361666664
47,0.15875073443333332
48,0.16279981208333336
49,0.16120716131666668
