time_0,mean_temp,max_rel_humidity,sun_duration,wind_speed,swave_radiation,google_search
0,12.7,81,34906.8,11.4,14.35,0
1,13.7,97,34460.81,10.3,14.16,49
2,16.5,86,34127.95,18.1,13.75,41
3,19.0,87,29761.41,15.2,9.98,0
4,20.9,90,33689.01,24.9,13.41,0
5,18.1,93,220.45,17.7,3.09,0
6,12.2,96,23786.43,14.8,10.5,39
7,11.0,87,33267.75,13.6,13.69,23
8,10.8,76,32865.27,10.5,12.23,34
9,11.4,91,32498.49,11.6,13.01,25
10,11.5,79,28940.4,11.8,10.99,27
11,13.4,72,21746.9,12.8,10.23,0
12,16.8,80,32602.67,16.2,12.05,29
13,16.6,98,7495.29,16.1,4.22,51
14,11.3,96,31057.21,14.3,10.06,32
15,8.4,87,32477.99,10.7,12.52,31
16,13.3,91,26994.9,23.3,8.99,0
17,13.4,98,17476.31,19.8,7.01,0
18,7.5,89,1020.81,14.8,4.86,31
19,6.1,100,32483.58,9.7,12.19,37
20,8.5,98,32368.43,15.4,11.3,29
21,6.6,92,32305.04,11.5,11.05,36
22,8.6,92,659.08,21.9,2.71,27
23,2.4,90,30269.89,20.1,11.97,23
24,1.3,76,32186.51,15.8,12.38,0
25,3.7,84,32094.61,17.6,11.89,39
26,8.7,77,32000.36,17.4,11.33,22
27,12.2,98,3600.0,20.4,3.35,37
28,14.0,100,85.41,13.2,2.76,39
29,10.4,99,31831.57,19.6,10.63,32
30,8.6,92,31785.46,24.1,9.8,39
31,6.6,100,31725.1,19.7,10.57,0
32,5.4,86,31679.89,20.3,10.61,25
33,6.8,90,31627.87,15.3,11.15,59
34,11.0,79,31569.13,17.3,10.64,56
35,15.1,97,4321.35,24.7,3.64,32
36,5.9,92,31499.8,15.8,11.21,35
37,1.5,95,31452.09,10.1,11.29,37
38,4.3,82,31380.33,11.5,11.07,23
39,5.8,99,30070.26,10.0,10.37,49
40,5.7,82,31317.3,12.2,10.98,52
41,6.0,85,31275.48,11.9,11.16,64
42,9.1,91,7667.63,17.4,4.73,51
43,8.8,97,18000.0,18.5,6.32,44
44,2.9,94,31195.91,26.6,10.97,59
45,-0.8,77,31163.5,11.4,11.14,83
46,2.6,84,27540.01,9.7,10.39,69
47,4.6,78,23983.52,11.8,8.61,81
48,6.4,81,31079.24,12.3,10.08,92
49,9.8,94,14541.61,10.9,4.78,100
