time_0,mean_temp,max_rel_humidity,sun_duration,wind_speed,swave_radiation,google_search
0,9.0,100,9001.98,28.8,4.35,93
1,4.5,93,0.0,24.3,1.93,60
2,3.3,88,33175.48,13.8,13.11,48
3,4.3,93,32274.37,16.5,12.05,58
4,4.1,91,28102.23,13.0,8.3,65
5,4.4,92,33634.39,11.2,13.77,66
6,8.7,90,31696.82,11.0,13.4,97
7,8.7,94,34514.68,13.4,14.08,58
8,8.6,87,6696.98,13.8,7.46,65
9,8.7,73,34759.82,13.4,14.81,75
10,6.0,89,34885.22,10.0,14.8,47
11,7.4,94,35012.28,12.4,14.94,68
12,11.1,64,28480.16,22.4,11.35,56
13,13.6,97,7784.24,20.0,6.23,0
14,14.4,98,0.0,20.6,1.69,97
15,10.6,98,23557.9,13.2,9.26,74
16,8.4,99,0.0,22.5,2.73,39
17,4.7,95,35801.02,19.1,16.2,70
18,7.2,87,35895.59,12.8,15.96,75
19,10.8,76,35965.51,16.9,15.56,72
20,8.1,94,12545.19,25.3,9.06,66
21,-0.9,87,28496.54,20.1,14.18,76
22,-0.1,78,36035.14,11.2,17.41,49
23,3.1,88,36037.71,13.0,17.4,55
24,7.0,83,33507.43,12.2,16.7,51
25,10.0,82,36000.0,18.4,16.78,97
26,13.0,97,3600.0,26.5,4.26,100
27,11.1,98,36241.46,22.2,17.13,60
28,6.2,76,36213.93,22.2,16.64,70
29,7.5,88,26365.66,19.1,11.92,70
30,16.1,69,36227.6,19.2,16.77,72
31,19.0,93,16951.44,31.2,9.78,69
32,11.7,95,25200.0,32.0,12.52,56
33,3.6,67,33921.15,12.1,16.58,83
34,7.2,96,0.0,15.1,3.72,76
35,10.0,98,10766.51,11.7,8.73,47
36,12.3,100,28858.22,18.4,14.17,60
37,16.8,97,37052.42,16.7,14.66,0
38,15.5,97,5193.2,14.6,5.72,64
39,14.6,98,23291.35,18.0,11.91,0
40,14.4,92,23986.57,11.0,12.01,95
41,14.3,93,5978.31,20.1,6.26,50
42,10.8,97,3600.0,20.4,7.7,46
43,5.5,80,39406.01,15.5,21.1,51
44,6.5,92,39545.54,12.3,21.03,63
45,10.3,77,38041.3,12.4,20.67,43
46,13.9,87,39483.99,12.4,15.08,43
47,18.5,93,37540.92,23.8,17.26,54
48,16.0,97,7055.8,19.3,9.71,57
49,12.0,97,40239.48,9.4,21.1,0
