time_0,mean_temp,max_rel_humidity,sun_duration,wind_speed,swave_radiation,google_search
0,-0.9,87,28496.54,20.1,14.18,76
1,-0.1,78,36035.14,11.2,17.41,49
2,3.1,88,36037.71,13.0,17.4,55
3,7.0,83,33507.43,12.2,16.7,51
4,10.0,82,36000.0,18.4,16.78,97
5,13.0,97,3600.0,26.5,4.26,100
6,11.1,98,36241.46,22.2,17.13,60
7,6.2,76,36213.93,22.2,16.64,70
8,7.5,88,26365.66,19.1,11.92,70
9,16.1,69,36227.6,19.2,16.77,72
10,19.0,93,16951.44,31.2,9.78,69
11,11.7,95,25200.0,32.0,12.52,56
12,3.6,67,33921.15,12.1,16.58,83
13,7.2,96,0.0,15.1,3.72,76
14,10.0,98,10766.51,11.7,8.73,47
15,12.3,100,28858.22,18.4,14.17,60
16,16.8,97,37052.42,16.7,14.66,0
17,15.5,97,5193.2,14.6,5.72,64
18,14.6,98,23291.35,18.0,11.91,0
19,14.4,92,23986.57,11.0,12.01,95
20,14.3,93,5978.31,20.1,6.26,50
21,10.8,97,3600.0,20.4,7.7,46
22,5.5,80,39406.01,15.5,21.1,51
23,6.5,92,39545.54,12.3,21.03,63
24,10.3,77,38041.3,12.4,20.67,43
25,13.9,87,39483.99,12.4,15.08,43
26,18.5,93,37540.92,23.8,17.26,54
27,16.0,97,7055.8,19.3,9.71,57
28,12.0,97,40239.48,9.4,21.1,0
29,10.8,83,20824.54,14.1,12.17,0
30,3.4,70,40519.02,24.3,22.17,75
31,4.8,94,40658.98,18.6,22.44,0
32,11.6,68,40798.95,15.3,21.99,0
33,10.2,65,38587.39,12.9,20.73,0
34,14.4,97,22301.92,18.6,13.93,0
35,9.8,98,41218.05,22.7,22.89,37
36,9.7,69,41357.18,19.5,21.12,43
37,13.7,77,28616.13,32.1,14.64,41
38,14.7,94,20956.06,37.3,13.28,0
39,8.2,91,41771.63,15.0,23.08,45
40,8.7,85,41908.52,10.6,23.75,51
41,12.3,88,41284.43,12.7,23.61,0
42,16.7,77,42170.48,21.1,21.22,0
43,18.8,86,39633.72,20.8,16.77,0
44,21.4,85,23163.27,22.2,11.63,0
45,19.7,95,2781.81,26.3,5.44,0
46,9.9,77,42369.12,26.3,20.47,49
47,8.8,62,17621.99,25.4,12.9,0
48,6.6,95,29962.57,15.5,16.15,0
49,8.0,91,42550.66,10.2,24.53,39
