time_0,mean_temp,max_rel_humidity,sun_duration,wind_speed,swave_radiation,google_search
0,17.4,96,31290.36,24.8,14.98,0
1,13.0,77,574.91,18.1,4.69,0
2,11.1,81,0.0,19.8,5.15,0
3,12.3,94,25768.76,7.6,10.39,0
4,13.5,95,37190.16,12.6,16.95,0
5,17.0,78,33453.04,27.9,13.33,49
6,16.1,95,36916.71,23.7,16.14,63
7,16.2,92,36781.27,24.0,16.65,0
8,14.4,89,36646.86,9.5,16.87,0
9,14.5,93,33520.49,10.6,14.57,0
10,18.3,68,27509.55,13.4,12.58,0
11,18.9,68,36250.38,15.1,15.67,49
12,21.1,88,33823.41,19.5,12.92,0
13,22.3,91,20278.64,18.2,7.85,0
14,22.6,92,32120.25,8.6,13.09,72
15,21.4,99,16917.72,16.2,6.59,60
16,8.9,93,0.0,17.4,2.58,0
17,4.7,80,35464.3,21.7,15.98,47
18,3.9,73,35334.63,14.4,15.7,60
19,6.7,100,35018.04,11.9,15.18,0
20,9.5,60,35077.64,14.0,15.13,41
21,12.7,81,34906.8,11.4,14.35,0
22,13.7,97,34460.81,10.3,14.16,94
23,16.5,86,34127.95,18.1,13.75,80
24,19.0,87,29761.41,15.2,9.98,0
25,20.9,90,33689.01,24.9,13.41,0
26,18.1,93,220.45,17.7,3.09,0
27,12.2,96,23786.43,14.8,10.5,76
28,11.0,87,33267.75,13.6,13.69,45
29,10.8,76,32865.27,10.5,12.23,67
30,11.4,91,32498.49,11.6,13.01,49
31,11.5,79,28940.4,11.8,10.99,52
32,13.4,72,21746.9,12.8,10.23,0
33,16.8,80,32602.67,16.2,12.05,56
34,16.6,98,7495.29,16.1,4.22,100
35,11.3,96,31057.21,14.3,10.06,62
36,8.4,87,32477.99,10.7,12.52,60
37,13.3,91,26994.9,23.3,8.99,0
38,13.4,98,17476.31,19.8,7.01,0
39,7.5,89,1020.81,14.8,4.86,60
40,6.1,100,32483.58,9.7,12.19,71
41,8.5,98,32368.43,15.4,11.3,56
42,6.6,92,32305.04,11.5,11.05,71
43,8.6,92,659.08,21.9,2.71,52
44,2.4,90,30269.89,20.1,11.97,45
45,1.3,76,32186.51,15.8,12.38,0
46,3.7,84,32094.61,17.6,11.89,75
47,8.7,77,32000.36,17.4,11.33,42
48,12.2,98,3600.0,20.4,3.35,71
49,14.0,100,85.41,13.2,2.76,76
