time_0,beta
0,0.12468617545666667
1,0.12189205974333334
2,0.12198688441666666
3,0.12662916566666665
4,0.12584352638666668
5,0.13174152967
6,0.12914848777666668
7,0.13282099450333335
8,0.13316951359666665
9,0.12990814851333332
10,0.12387404113000003
11,0.12272079083000001
12,0.11361457477999998
13,0.11114623109666667
14,0.10556018696333333
15,0.10401097456
16,0.09809228390333334
17,0.09951711714333333
18,0.10680705757333332
19,0.11202162759333334
20,0.1096546813
21,0.1060372586
22,0.10884624897666666
23,0.10397217562333333
24,0.11187052005
25,0.11201517353666667
26,0.11171487868666667
27,0.11635548826666667
28,0.11838074682000001
29,0.11668629826
30,0.12056520073666666
31,0.11786696426000001
32,0.12275786385000001
33,0.12883591516333334
34,0.12863547800666666
35,0.12234883323000001
36,0.12927468194
37,0.12936163796333333
38,0.13411189890333333
39,0.13910109614
40,0.13674146722333333
41,0.13942600877999997
42,0.13550651194666666
43,0.12990500276666667
44,0.12499858905333333
45,0.13681705764666668
46,0.14413722870333334
47,0.14870689530666667
48,0.1527195388
49,0.14961815992
