time_0,beta
0,0.12887913103
1,0.13659029542333334
2,0.14152647250333333
3,0.14307407974666667
4,0.14266422945666668
5,0.14432272153
6,0.14477070574999998
7,0.14627365421666666
8,0.15019227961666667
9,0.1544121661733333
10,0.14948527302333334
11,0.14319730693
12,0.14133909815666665
13,0.13721954529000002
14,0.13482074995999999
15,0.1316637467333333
16,0.13055343247666665
17,0.1302493622033333
18,0.12796512498
19,0.1256017028066667
20,0.12315506461333332
21,0.12121018744000002
22,0.11852594263
23,0.1269451407766667
24,0.13985451681333333
25,0.14257988397
26,0.14469830409333334
27,0.1459667781
28,0.14908448122333334
29,0.1512314637433333
30,0.15272565203666666
31,0.15674579531333332
32,0.16368345968
33,0.17017510706666666
34,0.17506672376666665
35,0.17627049466666664
36,0.17679773416666666
37,0.17705283096666666
38,0.17650875596666665
39,0.164889779
40,0.16008889482
41,0.16697324228
42,0.15869290188
43,0.16030356593333334
44,0.16284757221666665
45,0.1614152987
46,0.15545456335333332
47,0.14810765978666665
48,0.14595919924
49,0.14754926506
