time_0,mean_temp,max_rel_humidity,sun_duration,wind_speed,swave_radiation,google_search
0,13.2,94,287.29,19.4,3.11,100
1,13.3,98,20060.87,15.0,7.02,80
2,13.4,98,8998.42,23.4,4.41,69
3,13.7,100,30501.48,29.3,11.65,86
4,12.9,96,15831.18,11.9,8.36,87
5,13.4,97,28178.86,21.6,10.73,60
6,12.8,92,34219.99,10.2,13.63,59
7,14.3,77,34321.47,10.5,13.54,75
8,16.4,72,34007.38,10.8,13.59,0
9,17.1,73,34528.17,10.5,14.06,0
10,16.4,93,32434.45,10.4,13.81,0
11,13.8,95,32364.5,17.4,12.96,64
12,11.8,99,17794.23,35.5,6.59,0
13,11.2,99,34953.66,19.8,13.46,0
14,10.8,93,26083.99,18.1,12.51,78
15,11.6,92,3210.62,31.5,2.76,0
16,12.3,99,0.0,22.0,1.84,59
17,10.7,98,11584.5,14.8,5.73,0
18,10.2,98,35329.89,23.7,13.07,0
19,8.9,95,35386.62,14.8,12.96,57
20,9.8,93,35444.76,17.6,13.79,59
21,9.8,81,35504.23,19.9,16.32,73
22,9.3,81,35603.59,10.2,16.47,68
23,11.2,75,35664.82,10.1,16.54,85
24,11.0,94,35725.92,10.6,15.81,0
25,11.0,95,25964.89,10.8,10.14,0
26,11.5,99,35847.7,15.3,15.95,71
27,13.3,99,32490.48,13.9,13.77,0
28,12.1,100,21780.21,17.2,10.12,90
29,13.1,96,10351.89,9.4,6.84,68
30,13.4,96,0.0,20.5,3.19,0
31,13.2,96,0.0,18.5,2.72,0
32,13.4,97,34465.47,15.6,15.71,72
33,12.5,94,36501.75,15.1,17.37,74
34,14.3,82,33000.24,9.7,16.59,58
35,15.8,91,19753.52,12.5,11.8,70
36,14.4,95,29444.72,12.3,13.21,60
37,12.5,98,2885.92,12.3,6.0,62
38,13.2,100,36329.95,13.2,15.08,0
39,13.6,100,36972.82,16.5,18.59,0
40,13.5,100,22716.17,16.5,9.75,0
41,13.4,91,18969.49,16.6,10.44,58
42,13.1,93,18071.16,25.6,8.07,0
43,12.5,95,31903.1,27.4,15.18,54
44,11.5,93,38069.77,17.7,18.84,0
45,12.3,93,37396.55,13.8,19.12,0
46,11.5,97,15329.3,19.9,8.1,0
47,12.0,92,35008.53,17.4,17.35,0
48,12.1,93,38931.36,15.0,19.84,0
49,14.1,85,38571.01,12.6,20.54,0
